外観変更アイテム,外観変更物品,アイテム:item
チケット,入場券,ticket
お金,金錢,
エモート,表情,e-mote
ハンドガン,手銃,hand gun
ライフル,歩銃,rifle
ショットガン,霰弾銃,shot gun
マシンガン,機関銃,machine gun
アサルトライフル,突撃歩銃,assault rifle
ランチャー,啓動器,launcher
バレット,巴雷特,barrett
ヘッド,頭部,head
ボディ,身体,body
ネック,頸部,neck
ハンド,手部,hand
レッグ,腿部,leg
フット,足部,foot
リング,指輪,ring
イヤリング,耳輪,ear ring
バック,背部,back
エクストラ,附件,extra
フェイス,面部,face
タリスマン,護符,talisman
クエストアイテム,任務物品,quest item
騎乗アイテム,騎乗物品,
ジャンク品,廃品,ジャンク:junk
分解アイテム,分解物品,
武器改造アイテム,武器改造物品,
アイテム引換券,物品引換券,
合成アイテム,合成物品,
防具改造アイテム,防具改造物品,
変装アイテム,変装物品,
仲魔ダンジョン用,仲魔迷宮用,ダンジョン:dungeon
裏フィールド用,裏領域用,フィールド:field
ショット,拍照,shot
アクセサリ,配飾,accessory
グローブ,手套,glove
その他,其他,
