自分の情報\n　自分の情報を呼び出します。,個人信息\n　顯示個人信息。,
仲魔リスト\n　仲魔リストを呼び出します。,仲魔列表\n　顯示仲魔列表。,
アイテムリスト\n　アイテムリストを呼び出します。,物品列表\n　顯示物品列表。,
コミュニケーションメニュー\n　コミュニケーションメニューを\n　呼び出します。,社群菜単\n　顯示社群菜単。,
システムメニュー\n　システムメニューを呼び出します。,系統菜単\n　顯示系統菜単。,
チャンネル移動\n　移動先のチャンネルのリストを\n　呼び出します。,頻道移動\n　顯示可移動的頻道列表。,
ポスト\n　ポストを呼び出します。,信箱\n　顯示信箱。,
貴重品リスト\n　貴重品リストを呼び出します。,貴重品列表\n　顯示貴重品列表。,
地図リスト\n　地図リストを呼び出します。,地図列表\n　顯示地図列表。,
地図\n　地図を呼び出します。,地図\n　顯示地図。,
エピソード\n　エピソードリストを呼び出します。,事件\n　顯示事件列表。,
クエスト\n　クエストリストを呼び出します。,任務\n　顯示任務列表。,
仲魔の情報\n　仲魔の情報を呼び出します。,仲魔情報\n　顯示仲魔情報。,
パーティメンバーリスト\n　パーティメンバーリストを呼び出します。,小隊成員列表\n　顯示小隊成員列表。,
フレンドリスト\n　フレンドリストを呼び出します。,好友列表\n　顯示好友列表。,
ブラックリスト\n　ブラックリストを呼び出します。,黒名単\n　顯示黒名単。,
キャラクター選択\n　ログアウトして、\n　キャラクター選択画面に戻ります。,角色選択\n　登出游戲，\n　回到角色選択画面。,
ゲーム終了\n　ログアウトして、ゲームを終了します。,游戲結束\n　登出並結束游戲。,
オプション\n　オプションを呼び出します。,系統設定\n　進行系統設定。,
クランメンバーリスト\n　クランメンバーリストを呼び出します。,公會成員列表\n　顯示公會成員列表。,
クエスト・エピソードリスト\n　クエスト・エピソードリストを\n　呼び出します。,任務・事件列表\n　顯示任務・事件列表。,
発着信リスト\n　発着信リストを呼び出します。,收発信息列表\n　顯示收発信息列表。,
トレードリスト\n　トレードリストを呼び出します。,交易列表\n　顯示交易列表。,
パーティリスト\n　パーティリストを呼び出します。,隊伍列表\n　顯示隊伍列表。,
アイテムショップ\n　アイテムショップを呼び出します。,道具商城\n　進入道具商城。,
キーコンフィグ\n　キーコンフィグを呼び出します。,按鍵設定\n　顯示按鍵設定。,
スキルコマンド\n　スキルコマンドの一覧を呼び出します。,技能指令\n　顯示技能指令一覧。,
エキスパート\n　エキスパートの一覧を呼び出します。,專精\n　顯示專精一覧。,
ＬＮＣ\n　ＬＮＣ表を呼び出します。,ＬＮＣ\n　顯示ＬＮＣ陣営表相関信息。,
ＤＢ－ＮＥＴ\n　ＤＢ－ＮＥＴ（会員ページ）へ\n　アクセスします。,ＤＢ－ＮＥＴ\n　訪問ＤＢ－ＮＥＴ（会員頁面）。,
ＶＥＲＳＵＳ\n　ＶＥＲＳＵＳに関する各種情報を\n　表示します。,ＶＥＲＳＵＳ\n　顯示ＶＥＲＳＵＳ相関的各種情報。,
ＶＥＲＳＵＳチーム情報\n　ＶＥＲＳＵＳに参加するチームメンバーに\n　関する情報を表示します。,ＶＥＲＳＵＳ團隊情報\n　顯示ＶＥＲＳＵＳ参加團隊相関情報。,
ヘルプウィンドウ\n　ヘルプウィンドウを呼び出します。,援助窗口\n　顯示援助窗口。,
ペンタルファ\n　ペンタルファに関する各種情報を\n　表示します。,ＰＥＮＴＡＬＰＨＡ\n　顯示ＰＥＮＴＡＬＰＨＡ相関的各種情報。,
画面を元の状態に戻します。,將画面恢復到原來状態。,
